SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,playoffsBool,GP,WINS,LOSSES,WIN_PCT,PO_WINS,PO_LOSSES,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS
1984,1610612738,Boston,Celtics,East,43-15,1,1,82,63,19,0.768,13,8,45.4,89.3,0.508,1.3,3.8,0.356,22.7,28.1,0.806,13.6,32.1,45.7,27.9,21.7,7.9,16.2,5.0,114.8
1984,1610612747,Los Angeles,Lakers,West,47-13,1,1,82,62,20,0.756,15,4,48.2,88.5,0.545,1.1,3.6,0.305,20.8,27.2,0.763,13.0,31.1,44.1,31.4,23.5,8.5,18.7,5.9,118.2
1984,1610612743,Denver,Nuggets,West,37-23,2,1,82,52,30,0.634,8,7,47.3,97.3,0.486,0.9,2.9,0.311,24.6,31.3,0.785,16.2,28.1,44.3,27.6,26.2,10.9,16.9,5.2,120.0
1984,1610612749,Milwaukee,Bucks,East,39-19,2,1,82,59,23,0.72,3,5,43.5,88.5,0.491,1.1,3.6,0.303,22.8,30.2,0.757,15.3,28.7,44.0,26.4,27.3,8.4,16.9,5.9,110.9
1984,1610612755,Philadelphia,76ers,East,40-18,3,1,82,58,24,0.707,8,5,42.0,85.3,0.492,0.7,2.7,0.263,28.2,35.2,0.803,15.9,28.8,44.7,24.4,24.0,10.0,19.2,6.5,112.9
1984,1610612745,Houston,Rockets,West,36-24,3,1,82,48,34,0.585,2,3,45.7,90.7,0.504,0.5,2.3,0.22,19.3,27.6,0.699,16.2,29.2,45.4,27.3,24.8,8.3,19.6,7.3,111.2
1984,1610612765,Detroit,Pistons,East,31-27,4,1,82,46,36,0.561,5,4,46.8,97.5,0.48,0.5,2.4,0.226,21.7,27.6,0.788,17.1,30.9,48.0,28.1,25.3,8.4,16.4,4.8,116.0
1984,1610612742,Dallas,Mavericks,West,33-27,4,1,82,44,38,0.537,1,3,43.4,88.8,0.489,1.9,5.4,0.343,22.5,28.3,0.793,13.4,28.6,42.0,26.2,21.9,7.0,14.4,4.1,111.2
1984,1610612757,Portland,Trail Blazers,West,29-31,5,1,82,42,40,0.512,4,5,45.2,89.9,0.503,0.6,2.5,0.252,24.4,32.5,0.751,14.7,28.0,42.7,27.1,23.9,10.0,18.1,6.3,115.5
1984,1610612751,New Jersey,Nets,East,34-24,5,1,82,42,40,0.512,0,3,44.5,90.8,0.49,0.6,2.7,0.232,19.9,27.3,0.729,15.0,28.4,43.4,26.4,24.5,9.4,16.5,5.1,109.5
1984,1610612759,San Antonio,Spurs,West,31-29,6,1,82,41,41,0.5,2,3,45.1,87.8,0.513,0.7,2.5,0.272,23.9,31.4,0.763,13.7,30.1,43.9,28.2,26.6,9.2,18.8,5.4,114.8
1984,1610612762,Utah,Jazz,West,32-28,6,1,82,41,41,0.5,4,6,42.4,89.0,0.476,1.3,3.7,0.336,22.9,29.7,0.772,13.2,31.1,44.3,26.1,23.9,8.7,19.2,8.5,109.0
1984,1610612764,Washington,Bullets,East,28-30,6,1,82,40,42,0.488,1,3,43.1,90.0,0.479,1.3,4.9,0.274,18.0,24.3,0.743,12.3,29.2,41.5,25.5,22.8,8.6,15.6,4.8,105.5
1984,1610612741,Chicago,Bulls,East,24-34,7,1,82,38,44,0.463,1,3,42.1,84.3,0.5,0.4,2.0,0.18,24.2,30.8,0.784,13.1,28.9,42.0,24.3,25.3,7.6,17.8,5.7,108.7
1984,1610612756,Phoenix,Suns,West,27-33,8,1,82,36,46,0.439,0,3,42.8,87.1,0.491,1.1,3.7,0.283,21.4,27.8,0.771,12.5,29.6,42.1,28.5,24.8,8.9,19.3,4.3,108.0
1984,1610612739,Cleveland,Cavaliers,East,25-33,8,1,82,36,46,0.439,1,3,42.3,89.8,0.471,1.2,4.1,0.287,22.8,30.4,0.749,14.7,29.8,44.5,25.6,26.5,7.6,16.9,5.8,108.6
1984,1610612746,Los Angeles,Clippers,West,26-34,9,0,82,31,51,0.378,0,0,43.0,86.8,0.495,0.7,2.3,0.298,20.4,26.9,0.758,14.1,29.7,43.9,23.6,22.4,6.5,19.4,6.1,107.1
1984,1610612758,Kansas City,Kings,West,22-38,9,0,82,31,51,0.378,0,0,44.7,88.7,0.504,0.8,2.9,0.265,24.7,31.6,0.779,14.2,28.4,42.6,28.6,26.5,8.1,19.4,3.7,114.8
1984,1610612760,Seattle,SuperSonics,West,23-37,9,0,82,31,51,0.378,0,0,40.0,84.3,0.474,0.5,2.3,0.243,21.7,28.1,0.771,12.4,27.9,40.3,26.6,24.1,7.9,18.2,4.2,102.1
1984,1610612737,Atlanta,Hawks,East,25-33,9,0,82,34,48,0.415,0,0,42.0,86.8,0.484,0.9,2.9,0.311,21.7,28.9,0.752,14.2,28.6,42.8,24.5,25.0,8.1,18.0,6.6,106.6
1984,1610612752,New York,Knicks,East,16-42,10,0,82,24,58,0.293,0,0,41.9,86.6,0.484,0.6,2.4,0.258,20.8,28.7,0.726,13.6,25.6,39.2,24.4,29.2,9.2,17.8,3.3,105.2
1984,1610612754,Indiana,Pacers,East,14-44,11,0,82,22,60,0.268,0,0,42.5,89.3,0.476,0.4,1.9,0.194,22.8,30.7,0.744,14.6,32.0,46.6,23.7,27.3,7.6,19.8,4.5,108.3
1984,1610612744,Golden State,Warriors,West,17-43,12,0,82,22,60,0.268,0,0,42.7,92.1,0.463,1.4,4.8,0.282,23.7,30.9,0.768,16.2,26.1,42.3,21.5,26.0,9.8,17.8,3.5,110.4
1985,1610612738,Boston,Celtics,East,48-10,1,1,82,67,15,0.817,15,3,45.3,89.2,0.508,1.7,4.8,0.351,21.8,27.4,0.794,12.9,33.6,46.4,29.1,21.4,7.8,16.6,6.2,114.1
1985,1610612747,Los Angeles,Lakers,West,47-13,1,1,82,62,20,0.756,8,6,46.8,89.5,0.522,1.7,5.0,0.337,22.1,28.4,0.778,13.4,31.2,44.6,29.7,24.8,8.5,17.9,5.1,117.3
1985,1610612745,Houston,Rockets,West,38-22,2,1,82,51,31,0.622,13,7,45.8,93.5,0.49,1.0,3.8,0.274,21.7,29.7,0.73,16.0,29.7,45.7,28.3,24.3,9.1,16.8,6.7,114.4
1985,1610612749,Milwaukee,Bucks,East,39-19,2,1,82,57,25,0.695,7,7,43.9,89.1,0.493,1.5,4.7,0.327,25.2,32.9,0.764,14.5,29.5,44.0,26.3,27.0,9.8,16.7,5.6,114.5
1985,1610612743,Denver,Nuggets,West,34-26,3,1,82,47,35,0.573,5,5,45.2,96.0,0.471,0.9,3.7,0.233,23.5,29.5,0.798,14.9,28.3,43.2,26.1,26.4,10.1,16.3,5.1,114.8
1985,1610612755,Philadelphia,76ers,East,38-20,3,1,82,54,28,0.659,6,6,41.9,86.1,0.487,0.6,2.7,0.228,26.0,34.3,0.758,16.2,29.0,45.2,24.6,21.9,10.5,19.5,6.0,110.4
1985,1610612737,Atlanta,Hawks,East,35-23,4,1,82,50,32,0.61,4,5,42.0,85.7,0.49,0.4,2.0,0.199,24.1,33.0,0.732,15.2,29.3,44.6,24.7,26.5,9.0,18.1,5.3,108.6
1985,1610612742,Dallas,Mavericks,West,33-27,4,1,82,44,38,0.537,5,5,44.3,88.5,0.501,1.7,5.4,0.316,25.0,32.2,0.776,12.9,29.9,42.8,25.7,21.1,7.4,15.7,4.5,115.3
1985,1610612765,Detroit,Pistons,East,33-25,5,1,82,46,36,0.561,1,3,45.8,94.5,0.484,0.7,2.2,0.302,22.0,28.0,0.783,15.6,30.0,45.6,28.3,25.6,9.0,16.4,4.1,114.2
1985,1610612762,Utah,Jazz,West,30-30,5,1,82,42,40,0.512,1,3,42.1,86.4,0.488,0.4,2.1,0.207,23.5,32.9,0.716,13.0,30.2,43.3,26.8,24.9,8.7,18.5,8.1,108.2
1985,1610612751,New Jersey,Nets,East,26-32,6,1,82,39,43,0.476,0,3,43.3,89.0,0.486,0.5,2.6,0.201,22.1,29.2,0.755,14.4,30.3,44.7,26.0,26.0,9.1,19.2,4.2,109.1
1985,1610612757,Portland,Trail Blazers,West,31-29,6,1,82,40,42,0.488,1,3,44.0,88.8,0.496,0.9,3.4,0.269,26.1,34.1,0.765,14.1,28.2,42.3,26.6,26.9,10.5,18.6,4.3,115.1
1985,1610612764,Washington,Bullets,East,29-29,6,1,82,39,43,0.476,2,3,40.4,87.2,0.463,1.4,5.0,0.284,20.8,27.9,0.745,13.0,29.7,42.7,21.3,21.9,7.6,16.4,8.7,103.0
1985,1610612758,Sacramento,Kings,West,28-32,7,1,82,37,45,0.451,0,3,43.1,88.0,0.49,0.4,1.6,0.224,22.2,28.5,0.778,13.8,29.0,42.8,28.1,26.0,7.3,18.7,4.7,108.8
1985,1610612759,San Antonio,Spurs,West,25-35,8,1,82,35,47,0.427,0,3,43.9,86.6,0.506,0.6,2.4,0.235,23.0,30.8,0.746,13.0,29.4,42.5,27.6,25.8,9.8,19.8,4.8,111.2
1985,1610612741,Chicago,Bulls,East,19-39,8,1,82,30,52,0.366,0,3,42.4,88.1,0.481,1.1,3.9,0.278,23.4,30.5,0.769,15.6,27.8,43.4,24.5,26.4,7.4,17.5,4.9,109.3
1985,1610612746,Los Angeles,Clippers,West,25-35,9,0,82,32,50,0.39,0,0,41.3,87.4,0.473,0.8,2.8,0.279,25.2,32.7,0.77,14.1,27.5,41.7,24.0,23.5,8.5,18.3,6.1,108.6
1985,1610612756,Phoenix,Suns,West,25-35,9,0,82,32,50,0.39,0,0,42.9,85.3,0.503,0.5,2.2,0.208,23.8,32.7,0.726,12.6,29.9,42.5,27.7,27.6,9.4,21.5,4.6,110.0
1985,1610612739,Cleveland,Cavaliers,East,19-39,9,0,82,29,53,0.354,0,0,42.4,88.3,0.48,1.6,4.8,0.338,21.3,28.4,0.752,13.2,29.9,43.2,25.2,27.6,7.6,17.2,5.3,107.8
1985,1610612754,Indiana,Pacers,East,19-39,10,0,82,26,56,0.317,0,0,42.0,87.2,0.481,0.3,1.7,0.161,19.7,26.6,0.739,13.9,31.9,45.7,26.3,26.0,8.0,18.5,4.6,103.9
1985,1610612752,New York,Knicks,East,14-44,11,0,82,23,59,0.28,0,0,39.5,85.8,0.46,1.0,2.9,0.343,18.7,27.3,0.686,13.2,26.5,39.6,22.9,27.0,8.7,17.5,3.8,98.7
1985,1610612760,Seattle,SuperSonics,West,23-37,11,0,82,31,51,0.378,0,0,40.7,86.1,0.472,1.0,3.7,0.263,22.1,28.4,0.779,14.0,27.5,41.5,24.1,26.4,9.1,17.5,3.6,104.4
1985,1610612744,Golden State,Warriors,West,21-39,12,0,82,30,52,0.366,0,0,44.5,92.3,0.482,1.1,3.4,0.313,23.3,30.7,0.76,15.5,28.6,44.1,24.6,24.8,9.2,17.1,4.3,113.4
1986,1610612738,Boston,Celtics,East,38-20,1,1,82,59,23,0.72,13,10,44.5,86.0,0.517,2.5,6.9,0.366,21.2,26.3,0.808,11.4,31.5,42.9,29.5,20.9,6.8,15.9,6.4,112.6
1986,1610612747,Los Angeles,Lakers,West,47-13,1,1,82,65,17,0.793,15,3,45.6,88.4,0.516,2.0,5.5,0.367,24.5,31.1,0.789,13.7,30.7,44.4,29.6,22.6,8.9,16.6,5.9,117.8
1986,1610612737,Atlanta,Hawks,East,38-20,2,1,82,57,25,0.695,4,5,41.9,87.1,0.481,1.6,5.2,0.318,24.6,32.5,0.759,16.5,30.2,46.7,25.3,26.2,8.5,15.6,6.2,110.0
1986,1610612742,Dallas,Mavericks,West,42-18,2,1,82,55,27,0.671,1,3,43.8,89.9,0.487,2.8,8.0,0.354,26.2,33.1,0.791,14.9,30.4,45.3,24.6,22.8,8.4,14.7,5.2,116.7
1986,1610612765,Detroit,Pistons,East,38-20,3,1,82,52,30,0.634,10,5,43.2,88.3,0.49,0.5,2.1,0.231,24.3,31.7,0.765,15.2,32.3,47.5,24.6,25.3,7.8,17.3,5.3,111.2
1986,1610612757,Portland,Trail Blazers,West,35-25,3,1,82,49,33,0.598,1,3,44.5,88.4,0.504,1.2,4.1,0.289,27.7,35.7,0.775,14.4,29.4,43.8,28.8,25.4,9.4,18.9,4.7,117.9
1986,1610612762,Utah,Jazz,West,32-28,4,1,82,44,38,0.537,2,3,42.5,91.6,0.464,1.7,5.5,0.31,21.2,29.1,0.726,14.6,30.0,44.5,27.3,24.9,10.2,17.1,7.7,107.9
1986,1610612749,Milwaukee,Bucks,East,34-24,4,1,82,50,32,0.61,6,6,42.2,88.8,0.475,2.3,7.0,0.323,23.8,31.1,0.766,13.6,28.3,42.0,24.9,26.6,10.3,15.4,4.8,110.4
1986,1610612755,Philadelphia,76ers,East,29-29,5,1,82,45,37,0.549,2,3,40.7,82.8,0.491,1.1,4.1,0.259,24.0,31.9,0.753,14.4,28.4,42.7,23.7,21.6,9.4,18.5,6.6,106.5
1986,1610612745,Houston,Rockets,West,31-29,5,1,82,42,40,0.512,5,5,42.3,88.6,0.477,1.1,4.0,0.275,21.3,28.7,0.741,14.5,30.3,44.8,27.2,24.1,8.0,16.9,6.8,106.9
